town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Kömürcü,67,27,40,34,16,18,Girne,Girne,Dikmen,35.2857855,33.2559847,ChIJTQMTPfEN3hQRJTxZ743D5oQ
Pınarbaşı,483,236,247,484,237,247,Girne,Girne,Dikmen,35.2730184,33.2419422,ChIJSQMEM-YN3hQRS4wByo5E5SU
Şi̇ri̇nevler,368,201,167,427,228,199,Girne,Girne,Dikmen,35.2644875,33.1745097,ChIJAy0Ii7UO3hQRJ_TtF_VdPxA
Yukarı Taşkent,299,145,154,289,145,144,Girne,Girne,Dikmen,35.2569465,33.3962986,ChIJz9U6E_8U3hQRanxew9hlx0U
Esentepe,1754,920,834,1575,949,626,Girne,Girne,Esentepe,35.3403306,33.5817749,
Bahçeli̇,388,193,195,393,204,189,Girne,Girne,Esentepe,35.3428587,33.6287673,ChIJ8Qe9QW9P3hQR9NaEanZcrvI
Beşparmak,30,16,14,42,23,19,Girne,Girne,Esentepe,35.2975375,33.4775871,ChIJ5YwrdUNA3hQR5J9wzYWE44s
Karaağaç,242,116,126,264,133,131,Girne,Girne,Esentepe,35.3124353,33.5392081,ChIJ7VYHdJRG3hQRvc06gOS-wAA
Karaman,55,29,26,85,43,42,Girne,Girne,Esentepe,35.3149411,33.2644093,ChIJc0Z0on0N3hQRzLJNY-kkK-4
Karşıyaka,2091,1057,1034,2110,1185,925,Girne,Girne,Lapta,35.3439517,33.1070309,ChIJI23ralMK3hQRmSYUL86bEWI
Akdeni̇z,522,276,246,597,317,280,Girne,Çamlıbel,Lapta,35.2907038,32.9775675,ChIJwfPNebbk3RQRQ4wY82BrkXg
Alemdağ,86,45,41,87,45,42,Girne,Çamlıbel,Lapta,35.2974502,33.1548332,ChIJr2BEl-EL3hQRuxRFrugXaDI
Çamlıbel,872,466,406,1037,561,476,Girne,Çamlıbel,Lapta,35.3152032,33.0732741,ChIJKUqtUgji3RQRspS_34LLa1s
Geçi̇tköy,220,126,94,213,139,74,Girne,Çamlıbel,Lapta,35.3446997,33.0648331,ChIJ4xP-0fnh3RQR8AxYXLsvyzE
Hi̇sarköy,194,89,105,194,95,99,Girne,Çamlıbel,Lapta,35.3032467,33.1042183,ChIJAbvlJ5QJ3hQRTtLtonn2DKU
Karpaşa,256,150,106,89,44,45,Girne,Çamlıbel,Lapta,35.2858449,33.0732741,ChIJ4dnRB3vi3RQR-lNp5vJPO8A
Kayalar,234,136,98,181,97,84,Girne,Çamlıbel,Lapta,35.35837739999999,33.0282472,ChIJ4UZrwHXh3RQR2PaE3-Wo7uw
Kılıçarslan,194,102,92,218,128,90,Girne,Çamlıbel,Lapta,35.2619306,33.1351527,ChIJD2LWg_gI3hQRPkQCNEuxAgw
Koruçam,309,147,162,195,91,104,Girne,Çamlıbel,Lapta,35.3425478,33.000095,ChIJx4wIQefj3RQR954Nruf_HOE
Kozan,375,175,200,464,230,234,Girne,Çamlıbel,Lapta,35.3076877,33.12952900000001,ChIJZSJJD2MJ3hQRrXqQjWK3sFg
Özhan,73,38,35,82,45,37,Girne,Çamlıbel,Lapta,35.2628117,33.0845277,ChIJf0DUGkwI3hQRtzbRpmnmEnE
Sadrazamköy,170,80,90,166,85,81,Girne,Çamlıbel,Lapta,35.382536,32.9494009,ChIJ17BMu43m3RQRUulnzLeP1Gk
Tepebaşı,774,417,357,798,427,371,Girne,Çamlıbel,Lapta,35.2964917,33.0226174,ChIJh89DvULi3RQRdBBYCLBD6JM
Akçay,1008,511,497,1033,522,511,Güzelyurt,Güzelyurt,Güzelyurt,35.188463,33.0395058,ChIJgTNn8n3-3RQRjdbMqU27XTk
Aşağı Bostancı,1822,872,950,2024,1010,1014,Güzelyurt,Güzelyurt,Güzelyurt,35.156664,32.9831998,ChIJjbYq_sD-3RQRRBwt-tCPH7k
