town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Hi̇sarköy,194,89,105,194,95,99,Girne,Çamlıbel,Lapta,35.301416,33.1078601,ChIJAbvlJ5QJ3hQRTtLtonn2DKU,Καμπυλή,35.3032467,33.1042183
Karpaşa,256,150,106,89,44,45,Girne,Çamlıbel,Lapta,35.297798,33.0704157,ChIJ4dnRB3vi3RQR-lNp5vJPO8A,Καρπάσια,35.2858449,33.0732741
Kayalar,234,136,98,181,97,84,Girne,Çamlıbel,Lapta,35.3597382,33.0336704,ChIJ4UZrwHXh3RQR2PaE3-Wo7uw,Όργα,35.35837739999999,33.0282472
Kılıçarslan,194,102,92,218,128,90,Girne,Çamlıbel,Lapta,35.2687,33.1259,ChIJD2LWg_gI3hQRPkQCNEuxAgw,Κοντεμένος,35.2619306,33.1351527
Koruçam,309,147,162,195,91,104,Girne,Çamlıbel,Lapta,35.3428446,33.0097099,ChIJx4wIQefj3RQR954Nruf_HOE,Κορμακίτης,35.3425478,33.000095
Kozan,375,175,200,464,230,234,Girne,Çamlıbel,Lapta,35.3107054,33.140665,ChIJZSJJD2MJ3hQRrXqQjWK3sFg,Λάρνακας της Λαπήθου,35.3076877,33.12952900000001
Özhan,73,38,35,82,45,37,Girne,Çamlıbel,Lapta,35.2753281,33.1077234,ChIJf0DUGkwI3hQRtzbRpmnmEnE,Ασωματος,35.2628117,33.0845277
Sadrazamköy,170,80,90,166,85,81,Girne,Çamlıbel,Lapta,35.3832534,32.9529962,ChIJ17BMu43m3RQRUulnzLeP1Gk,Λιβερα,35.382536,32.9494009
Tepebaşı,774,417,357,798,427,371,Girne,Çamlıbel,Lapta,35.306,33.054,ChIJh89DvULi3RQRdBBYCLBD6JM,Διόριος,35.2964917,33.0226174
Akçay,1008,511,497,1033,522,511,Güzelyurt,Güzelyurt,Güzelyurt,35.1799595,33.0353237,ChIJgTNn8n3-3RQRjdbMqU27XTk,Ατσάγι,35.188463,33.0395058
Aşağı Bostancı,1822,872,950,2024,1010,1014,Güzelyurt,Güzelyurt,Güzelyurt,35.1685572,33.0066204,ChIJjbYq_sD-3RQRRBwt-tCPH7k,Κάτω Ζώδεια,35.156664,32.9831998
Aydınköy,1164,563,601,1154,577,577,Güzelyurt,Güzelyurt,Güzelyurt,35.1754257,32.9396556,ChIJ8XZ5q1T43RQRzV60qnMopDY,Πραστειό,35.1704228,32.9381321
Gayretköy,367,179,188,367,188,179,Güzelyurt,Güzelyurt,Güzelyurt,35.1616976,33.1060206,ChIJK62DccsA3hQRAGla_VKsatc,Αυλώνα,35.1693415,33.1098434
Güneşköy,505,252,253,546,277,269,Güzelyurt,Güzelyurt,Güzelyurt,35.1765353,32.9567145,ChIJwRmoGRv53RQRTTcfmvPxpBo,Νικήτας,35.1783861,32.9522179
Kalkanlı,2305,1423,882,1338,811,527,Güzelyurt,Güzelyurt,Güzelyurt,35.2465,33.0379,ChIJQyuQ1iP93RQRg1qfNPTRskI,Καπούτι,35.2377309,33.0226174
Mevlevi̇,386,207,179,370,217,153,Güzelyurt,Güzelyurt,Güzelyurt,35.2032499,33.060546,ChIJ6WxWC5b93RQR_5--axMMlfw,Κυρά,35.2109599,33.0620193
Serhatköy,573,280,293,595,300,295,Güzelyurt,Güzelyurt,Güzelyurt,35.1882752,33.0922433,ChIJS4_MUl0H3hQRcIMqx8tFKPE,Φυλλιά,35.1905207,33.1126559
Şahi̇nler,189,89,100,179,82,97,Güzelyurt,Güzelyurt,Güzelyurt,35.1866597,33.0756714,ChIJcbZPcfb93RQRkUJAV1mCgxU,Μάσαρη,35.1797005,33.0760876
Yayla,850,424,426,775,390,385,Güzelyurt,Güzelyurt,Güzelyurt,35.2251052,32.940156,ChIJMfmr19L73RQRh0aCJUR2yxg,Συριανοχώρι,35.2194604,32.9381321
Yukarı Bostancı,1495,788,707,1419,746,673,Güzelyurt,Güzelyurt,Güzelyurt,35.1621325,33.0159382,ChIJMyeRpuj-3RQRDNZiowoWvBo,Πάνω Ζώδεια,35.1386371,32.9860159
Yuvacık,214,113,101,214,112,102,Güzelyurt,Güzelyurt,Güzelyurt,35.2146574,33.0189154,ChIJby8zJkT83RQRld-NRrT-uYE,Χρυσηλιου,35.2116477,33.0198024
