geo_code,town,population,male_population,female_population,district,is_dimos
6221,Αγία Μαρίνα Κελοκεδάρων,37,15,22,Πάφου,False
6222,Πενταλιά,63,31,32,Πάφου,False
6223,Φάλεια,2,2,0,Πάφου,False
6224,Γαλαταριά,56,26,30,Πάφου,False
6225,Κοιλίνεια,39,17,22,Πάφου,False
6226,Βρέτσια,1,1,0,Πάφου,False
6227,Στατός-Άγιος Φώτιος,243,106,137,Πάφου,False
6229,Μαμούνταλη,18,10,8,Πάφου,False
6230,Πάνω Παναγιά,481,234,247,Πάφου,False
6231,Ασπρογιά,60,31,29,Πάφου,False
6300,Ψάθι,110,55,55,Πάφου,False
6301,Άγιος Δημητριανός,91,42,49,Πάφου,False
6302,Κανναβιού,175,87,88,Πάφου,False
6303,Θρινιά,55,27,28,Πάφου,False
6304,Μηλιά Πάφου,14,7,7,Πάφου,False
6305,Κρίτου Μαρόττου,85,46,39,Πάφου,False
6306,Φύτη,150,74,76,Πάφου,False
6307,Λάσα,67,22,45,Πάφου,False
6308,Δρύμου,110,52,58,Πάφου,False
6310,Σίμου,185,90,95,Πάφου,False
6311,Αναδιού,17,9,8,Πάφου,False
6312,Σαραμά,2,2,0,Πάφου,False
6313,Ευρέτου,3,1,2,Πάφου,False
6315,Φιλούσα Χρυσοχούς,31,12,19,Πάφου,False
6318,Μελάδεια,17,9,8,Πάφου,False
6319,Μελάνδρα,2,2,0,Πάφου,False
6320,Λυσός,205,95,110,Πάφου,False
6321,Περιστερώνα Πάφου,302,151,151,Πάφου,False
6330,Θελέτρα,269,130,139,Πάφου,False
6331,Γιόλου,762,371,391,Πάφου,False
6332,Πάνω Ακουρδάλεια,44,18,26,Πάφου,False
6333,Μηλιού,89,41,48,Πάφου,False
6334,Κάτω Ακουρδάλεια,65,29,36,Πάφου,False
6335,Τέρα,36,16,20,Πάφου,False
6336,Κρίτου Τέρα,86,36,50,Πάφου,False
6337,Σκούλλη,65,29,36,Πάφου,False
6338,Χόλη,83,42,41,Πάφου,False
6339,Λουκρούνου,4,2,2,Πάφου,False
6340,Καραμούλληδες,33,17,16,Πάφου,False
6341,Χρυσοχού,132,61,71,Πάφου,False
6343,Πόλις Χρυσοχούς,2018,1028,990,Πάφου,True
6344,Νέο Χωριό Πάφου,519,248,271,Πάφου,False
6345,Γουδί,204,96,108,Πάφου,False
6350,Κάτω Αρόδες,39,18,21,Πάφου,False
6351,Πάνω Αρόδες,135,63,72,Πάφου,False
6352,'Ινεια,385,204,181,Πάφου,False
6353,Δρούσεια,405,205,200,Πάφου,False
6355,Ανδρολίκου,34,23,11,Πάφου,False
6360,Πελαθούσα,57,29,28,Πάφου,False
6361,Κυνούσα,71,33,38,Πάφου,False
6362,Μακούντα,116,68,48,Πάφου,False
6363,Αργάκα,1078,556,522,Πάφου,False
6364,Γιαλιά,202,103,99,Πάφου,False
6365,Αγία Μαρίνα Χρυσοχούς,647,312,335,Πάφου,False
6366,Νέα Δήμματα,50,26,24,Πάφου,False
6367,Πομός,448,233,215,Πάφου,False
6368,Στενή,173,79,94,Πάφου,False
